"","Matz_Number","Serial","Replicate","Assay","PC1Group","PC2Group","PC3Group","Size_mm","Date","Aresp","Alateraliz","AReacDist_cm","ALatency_ms","AResp_dist_cm","AResp_spd_mms","AResp_MX_spd","At2mxspd_s","Aresp_dur_s","Amx_accel","At2mxaccel","VResp_dist_cm","VResp_spd_mms","VMeanAngSpd","VMeanMeander","VMeanMobility","RDistanceMoved_cm","RMeanSpeed","RMeanAngularSpd","RMeanMeander","RMeanMobility"
"63",63,40,1,"acoustic",-0.65,-0.82,0.78,11.689,41619,1,0,NA,20.8,1.07,15.95,51.67,0.021,0.071,11160,0.021,NA,NA,NA,NA,NA,36.26,1.21,10.13,-143.05,20.44
"66",66,43,1,"acoustic",0.19,1.58,-0.89,11.821,41619,1,1,NA,8.3,1.44,31.11,77.66,0.008,0.05,18637.4,0.008,NA,NA,NA,NA,NA,8.73,0.26,46.57,3472.37,11.22
"67",67,44,1,"acoustic",-0.34,0.41,-1.11,11.332,41619,1,1,NA,8.3,1.29,18.77,77.47,0.004,0.067,5212.3,0.029,NA,NA,NA,NA,NA,40.01,1.21,46.01,123.97,26.76
"68",68,45,1,"acoustic",-0.07,1.06,-0.37,11.93,41619,1,1,NA,8.3,2.16,26.64,57.92,0.008,0.075,8405.3,0.008,NA,NA,NA,NA,NA,39.22,1.48,-8.22,147.59,34.75
"69",69,47,1,"acoustic",-0.62,0.96,-0.52,11.288,41619,1,0,NA,8.3,0.79,33.55,52.7,0.004,0.025,8167.7,0.021,NA,NA,NA,NA,NA,20.82,0.63,-91.07,-722.24,14.68
"6",6,54,1,"visual",0.33,-0.38,NA,12.064,41618,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,5.46,-141.03,-14.52,48.44,11.03,0.33,18.43,1306.71,7.09
"70",70,48,1,"acoustic",-0.5,1.13,-1.04,11.529,41619,1,1,NA,8.3,1.18,24.78,71.3,0.008,0.046,4052.2,0.008,NA,NA,NA,NA,NA,19.32,0.7,76.16,1822.97,14.25
"71",71,1,1,"acoustic",0.27,0.55,-0.75,12.069,41619,1,1,NA,8.3,1.97,23.84,91.96,0.021,0.079,8403.8,0.021,NA,NA,NA,NA,NA,22.54,0.76,2.97,253.99,16.64
"72",72,2,1,"acoustic",0.91,-0.58,1.21,13.145,41619,1,0,NA,12.5,3.68,29.9,74.06,0.042,0.113,9638.6,0.033,NA,NA,NA,NA,NA,5.4,0.18,65.74,5483.83,6.04
"76",76,6,1,"acoustic",-0.1,0.37,-0.87,12.394,41619,1,1,NA,12.5,1.59,25.91,57.16,0.008,0.058,10469.3,0.042,NA,NA,NA,NA,NA,5.49,0.18,19.95,-2041.64,5.12
"8",8,56,1,"visual",0.69,1.01,NA,12.411,41618,1,1,5.05,900,NA,NA,NA,NA,NA,NA,NA,3.08,6.16,187.05,45.72,77.42,25.28,1.01,43.68,668.62,25.93
"92",92,22,1,"acoustic",0.39,-0.53,-0.97,11.817,41619,1,1,NA,8.3,2.34,22.34,56.74,0.008,0.104,9242.4,0.071,NA,NA,NA,NA,NA,29.22,0.96,73.16,368.34,17.87
"93",93,23,1,"acoustic",-0.46,-0.96,0.58,10.342,41619,1,0,NA,8.3,1.39,9.54,62.47,0.013,0.138,4830.2,0.013,NA,NA,NA,NA,NA,37.3,1,21.31,-42.97,24.52
